,Wounded,Gender of Victims (M/F/Both),Targeted Specific Victim(s),Suicide (or attempted suicide) by Shooter (Y/N),Pre-planned school attack,Day of week (formula),School Type,Number of Shooters,Killed
460,1.0,0,0,0,0,3,2,1.0,1
461,0.0,0,1,1,0,0,2,1.0,1
462,1.0,0,1,0,0,0,2,1.0,1
463,0.0,0,1,0,0,3,2,1.0,1
464,0.0,0,1,0,0,0,2,0,1
465,0.0,0,1,1,0,0,1,1.0,1
466,0.0,0,1,0,0,0,2,1.0,1
467,0.0,0,1,1,0,4,2,1.0,1
468,1.0,0,1,0,0,3,2,1.0,1
469,0.0,0,1,0,0,3,2,1.0,1
470,1.0,0,-1,0,0,5,2,1.0,1
471,0.0,1,0,0,0,3,1,1.0,1
472,0.0,0,-1,0,0,4,2,0,1
473,0.0,1,1,1,0,4,2,1.0,1
474,0.0,0,1,0,0,4,2,1.0,1
475,0.0,0,1,0,0,0,2,1.0,1
476,0.0,0,1,0,0,3,2,1.0,1
477,0.0,0,1,0,0,2,2,0,1
478,1.0,0,1,0,0,1,2,1.0,0
479,0.0,0,1,0,0,1,2,1.0,1
480,1.0,1,1,0,0,2,2,1.0,0
481,0.0,0,1,0,0,3,2,1.0,1
482,0.0,-1,-1,0,0,3,2,0,1
483,4.0,2,0,1,0,4,1,1.0,1
484,0.0,0,1,0,0,4,2,1.0,1
485,0.0,2,1,0,0,5,0,2.0,2
486,0.0,1,1,1,0,1,2,1.0,1
487,1.0,0,1,0,0,0,1,1.0,0
488,0.0,0,1,0,0,0,2,1.0,1
489,0.0,0,1,0,0,3,2,1.0,1
490,0.0,0,1,0,0,3,2,1.0,1
491,0.0,0,1,0,0,3,2,0,1
492,0.0,0,1,0,0,3,2,0,1
493,0.0,0,1,0,0,2,2,1.0,1
494,0.0,0,1,0,0,3,2,1.0,1
495,0.0,0,1,0,0,2,2,1.0,1
496,0.0,0,1,0,0,2,2,1.0,1
497,2.0,0,1,0,0,4,2,1.0,1
498,0.0,0,1,0,0,3,2,1.0,1
499,0.0,0,1,1,0,4,2,1.0,1
500,0.0,0,1,0,0,0,2,1.0,1
501,0.0,-1,-1,0,0,2,2,1.0,0
502,0.0,-1,-1,0,0,2,1,1.0,0
503,0.0,0,1,0,0,3,0,1.0,1
504,0.0,0,1,0,0,0,1,1.0,1
505,0.0,0,-1,0,0,1,2,0,1
506,1.0,0,1,0,0,4,2,1.0,0
507,0.0,0,1,0,0,1,3,1.0,2
508,1.0,0,1,0,0,3,2,1.0,0
509,0.0,0,1,0,0,2,2,1.0,1
510,0.0,0,0,0,0,1,2,0,1
511,1.0,2,0,0,0,2,2,1.0,1
512,0.0,0,1,1,0,4,2,1.0,1
513,2.0,1,0,0,0,1,2,1.0,0
514,1.0,0,0,0,0,4,2,1.0,0
515,0.0,0,0,0,0,1,0,1.0,1
516,0.0,0,1,1,0,2,0,1.0,1
517,0.0,0,-1,0,0,1,2,0,1
518,0.0,0,0,0,0,3,1,1.0,1
519,0.0,1,0,0,0,0,2,1.0,1
520,0.0,1,1,1,0,2,2,1.0,1
521,0.0,-1,0,0,0,3,2,1.0,0
522,0.0,0,1,0,0,6,0,1.0,1
523,0.0,0,1,0,0,0,2,1.0,1
524,0.0,0,1,0,0,2,2,0,1
525,1.0,0,1,0,0,3,2,1.0,0
526,3.0,2,1,0,0,4,2,0,0
527,1.0,0,0,0,0,5,2,1.0,0
528,1.0,0,1,1,0,2,2,1.0,1
529,1.0,1,1,0,0,0,2,1.0,0
530,1.0,0,1,1,0,0,2,1.0,0
531,0.0,1,1,0,0,5,0,1.0,1
532,4.0,0,0,0,0,0,1,1.0,1
533,1.0,1,0,0,0,1,2,0,0
534,1.0,0,1,0,0,4,2,1.0,0
535,0.0,0,1,1,0,1,2,1.0,1
536,2.0,0,1,0,0,4,2,1.0,1
537,0.0,0,1,1,0,1,2,1.0,1
538,2.0,2,1,0,0,3,2,1.0,0
539,0.0,0,1,1,0,0,1,1.0,2
540,1.0,0,1,0,0,3,2,1.0,1
541,1.0,0,1,0,0,2,1,1.0,0
542,1.0,1,1,0,0,0,2,1.0,0
543,2.0,1,1,0,0,2,2,1.0,0
544,0.0,1,1,0,0,1,1,1.0,1
545,0.0,0,1,0,0,1,1,1.0,1
546,0.0,0,1,0,0,3,2,1.0,2
547,1.0,0,1,0,0,2,2,1.0,0
548,0.0,0,1,0,0,4,1,1.0,1
549,1.0,1,1,1,0,3,2,1.0,3
550,1.0,1,1,0,0,0,2,1.0,0
551,4.0,2,1,0,0,0,2,1.0,0
552,0.0,0,0,0,0,3,0,1.0,1
553,1.0,2,1,0,1,2,2,1.0,2
554,0.0,0,1,0,0,1,2,1.0,1
555,0.0,0,1,1,0,1,2,0,1
556,0.0,0,1,0,0,4,1,1.0,1
557,0.0,0,0,0,0,4,2,0,1
558,1.0,2,0,0,1,4,1,1.0,3
559,1.0,0,0,1,0,3,2,1.0,1
